year,league,team,player_name,player_id,mlb_team,position,salary,status,eligibility,roster_section
2024,al,Jason Collette,Seth Brown,7100,NYY,UT,44,act,"OF,1B,INF,SW",active
2024,al,Jason Collette,Christopher Morel,7389,Mia,INF,480,act,"OF,2B,3B,SW,INF",active
2024,al,Jason Collette,Daniel Schneemann,8806,Cle,SW,41,act,"2B,OF,3B,SS",active
2024,al,Jason Collette,Jhonkensy Noel,7875,Bal,SW,276,act,"OF,1B",active
2024,al,Jason Collette,Mitch Spence,8495,KC,P,3,act,P,active
2024,al,Jason Collette,Kenta Maeda,4548,NYY,P,5,act,P,active
2024,al,Jason Collette,Joey Cantillo,7414,Cle,P,2,act,P,active
2024,al,Jason Collette,Tyler Alexander,6149,Tex,P,6,act,P,active
2024,al,Jason Collette,Cade Smith,8469,Cle,P,2,act,P,active
2024,al,Jason Collette,Manuel Rodriguez,7119,TB,P,3,act,P,active
2024,al,Jason Collette,Nick Pivetta,5888,SD,P,14,act,P,active
2024,al,Jason Collette,Reid Detmers,7335,LAA,P,4,act,P,active
2024,al,Jason Collette,David Festa,8634,Min,P,151,act,P,active
2024,al,Jason Collette,Anthony Rendon,3205,LAA,SW,1,dis,"3B,SW,INF",reserved
2024,al,Jason Collette,Justin Foscue,7367,Tex,SW,44,res,UT,reserved
2024,al,Jason Collette,Drew Waters,6537,KC,SW,7,res,"OF,SW",reserved
2024,al,Jason Collette,Luis M. Castillo,5137,Sea,P,29,dis,P,reserved
2024,al,Jason Collette,Hunter Harvey,4796,ChC,P,19,dis,P,reserved
2024,al,Jason Collette,Brady Singer,6497,Cin,P,2,res,P,reserved
2024,al,Jason Collette,Brock Stewart,5811,LAD,P,3,dis,P,reserved
2024,al,Jason Collette,Jake Bloss,9102,Tor,P,22,res,P,reserved
2024,al,Rick Wolf/Glenn Colton,Ty France,6723,SD,1B,8,act,"1B,INF,SW",active
2024,al,Rick Wolf/Glenn Colton,Andres Gimenez,5824,Tor,2B,22,act,"2B,SW,INF",active
2024,al,Rick Wolf/Glenn Colton,Bobby Witt,6904,KC,SS,41,act,"SS,SW,INF",active
2024,al,Rick Wolf/Glenn Colton,Maikel Garcia,7884,KC,3B,19,act,"3B,SW,INF,2B",active
2024,al,Rick Wolf/Glenn Colton,Alex Verdugo,4948,Atl,OF,5,act,"OF,SW",active
2024,al,Rick Wolf/Glenn Colton,MJ Melendez,6478,NYM,OF,13,act,"OF,SW",active
2024,al,Rick Wolf/Glenn Colton,Nathan Lukes,7612,Tor,OF,11,act,"OF,SW",active
2024,al,Rick Wolf/Glenn Colton,Aaron Judge,4601,NYY,OF,40,act,"OF,SW",active
2024,al,Rick Wolf/Glenn Colton,Christian Vazquez,4248,Hou,C,14,act,"C,SW",active
2024,al,Rick Wolf/Glenn Colton,Victor Caratini,4876,Min,C,2,act,"C,SW,1B",active
2024,al,Rick Wolf/Glenn Colton,Jon Berti,5574,ChC,UT,0,act,"3B,INF,2B,SS,OF,SW",active
2024,al,Rick Wolf/Glenn Colton,Jonathan Aranda,7905,TB,INF,9,act,"1B,2B,SW",active
2024,al,Rick Wolf/Glenn Colton,Eric Wagaman,9175,Min,SW,3,act,3B,active
2024,al,Rick Wolf/Glenn Colton,Brant Hurter,8648,Det,P,11,act,P,active
2024,al,Rick Wolf/Glenn Colton,Ronel Blanco,7450,Hou,P,29,act,P,active
2024,al,Rick Wolf/Glenn Colton,Seth Lugo,5417,KC,P,4,act,P,active
2024,al,Rick Wolf/Glenn Colton,Spencer Arrighetti,8577,Hou,P,14,act,P,active
2024,al,Rick Wolf/Glenn Colton,Jonathan Cannon,7700,CWS,P,3,act,P,active
2024,al,Rick Wolf/Glenn Colton,Logan Gilbert,6531,Sea,P,22,act,P,active
2024,al,Rick Wolf/Glenn Colton,Jack Kochanowicz,7513,LAA,P,6,act,P,active
2024,al,Rick Wolf/Glenn Colton,Josh Hader,4656,Hou,P,23,act,P,active
2024,al,Rick Wolf/Glenn Colton,Brady Basso,8756,Oak,P,3,act,P,active
2024,al,Rick Wolf/Glenn Colton,Fraser Ellard,8408,CWS,P,0,act,P,active
2024,al,Rick Wolf/Glenn Colton,Ben Gamel,5506,Atl,OF,16,dis,"OF,SW",reserved
2024,al,Rick Wolf/Glenn Colton,Angel Martinez,7770,Cle,UT,9,res,OF,reserved
2024,al,Rick Wolf/Glenn Colton,Bryce Teodosio,8511,LAA,UT,29,dis,OF,reserved
2024,al,Rick Wolf/Glenn Colton,Dylan Carlson,6519,ChC,SW,19,res,"OF,SW",reserved
2024,al,Rick Wolf/Glenn Colton,Ben Joyce,8098,LAA,P,14,dis,P,reserved
2024,al,Rick Wolf/Glenn Colton,Alec Marsh,7521,KC,P,19,res,P,reserved
2024,al,Rick Wolf/Glenn Colton,Taj Bradley,7918,Min,P,3,res,P,reserved
2024,al,Rick Wolf/Glenn Colton,Jose Soriano,7549,LAA,P,19,dis,P,reserved
2024,al,Rob Leibowitz,Justin Turner,2415,FA,1B,14,act,"1B,SW,3B,INF",active
2024,al,Rob Leibowitz,Jose Altuve,3776,Hou,2B,29,act,"2B,INF,SW",active
2024,al,Rob Leibowitz,Jeremy Pena,7200,Hou,SS,13,act,"SS,INF,SW",active
2024,al,Rob Leibowitz,Colt Keith,8114,Det,3B,12,act,"UT,2B",active
2024,al,Rob Leibowitz,Lane Thomas,6727,KC,OF,667,act,"OF,SW",active
2024,al,Rob Leibowitz,Steven Kwan,7878,Cle,OF,20,act,"OF,SW",active
2024,al,Rob Leibowitz,Mitch Haniger,4480,FA,OF,3,act,"OF,SW",active
2024,al,Rob Leibowitz,Anthony Santander,5903,Tor,OF,16,act,"OF,SW",active
2024,al,Rob Leibowitz,Connor Wong,7229,Bos,C,5,act,"C,1B,SW,2B",active
2024,al,Rob Leibowitz,Freddy Fermin,7171,SD,C,1,act,"C,SW",active
2024,al,Rob Leibowitz,Jonny DeLuca,8312,TB,UT,9,act,"OF,SW",active
2024,al,Rob Leibowitz,Anthony Volpe,7050,NYY,INF,23,act,"SS,INF,SW",active
2024,al,Rob Leibowitz,Brandon Drury,4055,KC,SW,13,act,"2B,1B,3B,SW,INF",active
2024,al,Rob Leibowitz,Jace Jung,7951,Det,SW,5,act,3B,active
2024,al,Rob Leibowitz,Kenley Jansen,2963,Det,P,15,act,P,active
2024,al,Rob Leibowitz,Framber Valdez,6407,Det,P,26,act,P,active
2024,al,Rob Leibowitz,Hogan Harris,8322,Oak,P,17,act,P,active
2024,al,Rob Leibowitz,Chad Green,5625,Tor,P,1,act,P,active
2024,al,Rob Leibowitz,Yusei Kikuchi,6454,LAA,P,6,act,P,active
2024,al,Rob Leibowitz,Clarke Schmidt,6193,NYY,P,2,act,P,active
2024,al,Rob Leibowitz,Chris Martin,4806,Tex,P,4,act,P,active
2024,al,Rob Leibowitz,Andrew Heaney,4146,FA,P,3,act,P,active
2024,al,Rob Leibowitz,Garrett Cleavinger,6239,TB,P,2,act,P,active
2024,al,Rob Leibowitz,Max Muncy,7823,Oak,SS,9,res,3B,reserved
2024,al,Rob Leibowitz,Daulton Varsho,6326,Tor,OF,18,dis,"OF,SW",reserved
2024,al,Rob Leibowitz,Esteury Ruiz,6230,Mia,SW,26,dis,"OF,SW",reserved
2024,al,Rob Leibowitz,Jacob Webb,6698,ChC,P,2,res,P,reserved
2024,al,Rob Leibowitz,Will Vest,7551,Det,P,3,res,P,reserved
2024,al,Andy Andres,Vladimir Guerrero Jr.,5275,Tor,1B,31,act,"1B,SW,3B,INF",active
2024,al,Andy Andres,Lenyn Sosa,8227,Tor,2B,3,act,"2B,SW,3B,INF",active
2024,al,Andy Andres,Trevor Story,4020,Bos,SS,11,act,"SS,INF,SW",active
2024,al,Andy Andres,Jorge Polanco,4695,NYM,3B,15,act,"2B,INF,3B,SW",active
2024,al,Andy Andres,Jasson Dominguez,6875,NYY,OF,1,act,"OF,SW",active
2024,al,Andy Andres,Wyatt Langford,8539,Tex,OF,26,act,OF,active
2024,al,Andy Andres,Juan Soto,6043,NYM,OF,47,act,"OF,SW",active
2024,al,Andy Andres,Romy Gonzalez,7828,Bos,OF,0,act,"1B,2B,INF,SS,SW,3B,OF",active
2024,al,Andy Andres,David Fry,8470,Cle,C,2,act,"C,1B,INF,OF,SW",active
2024,al,Andy Andres,Jake Rogers,6265,Det,C,31,act,"C,SW",active
2024,al,Andy Andres,Kyle Manzardo,8116,Cle,UT,86,act,1B,active
2024,al,Andy Andres,Isaac Paredes,6242,Hou,INF,0,act,"3B,1B,SW,INF",active
2024,al,Andy Andres,Gerrit Cole,2660,NYY,P,12,act,P,active
2024,al,Andy Andres,Bowden Francis,7502,Tor,P,41,act,P,active
2024,al,Andy Andres,Luke Weaver,4987,NYM,P,11,act,P,active
2024,al,Andy Andres,Drew Rasmussen,7251,TB,P,0,act,P,active
2024,al,Andy Andres,Kumar Rocker,7075,Tex,P,29,act,P,active
2024,al,Andy Andres,Corbin Burnes,6208,Ari,P,30,act,P,active
2024,al,Andy Andres,David Robertson,2132,FA,P,3,act,P,active
2024,al,Andy Andres,Edwin Uceta,7228,TB,P,11,act,P,active
2024,al,Andy Andres,Prelander Berroa,7105,CWS,P,0,act,P,active
2024,al,Andy Andres,George Kirby,7041,Sea,P,28,act,P,active
2024,al,Andy Andres,Ryan Pressly,4263,ChC,P,5,act,P,active
2024,al,Andy Andres,Max Schuemann,8778,NYY,OF,42,res,"2B,OF,SS,3B",reserved
2024,al,Andy Andres,Jordyn Adams,6607,Bal,OF,0,res,"OF,SW",reserved
2024,al,Andy Andres,Alex Kirilloff,5827,Min,OF,7,dis,"OF,1B,SW,INF",reserved
2024,al,Andy Andres,Jonathan Singleton,3245,Hou,SW,0,res,"1B,SW,INF",reserved
